,Title,ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7
37,Se7en,807,9/22/1995,1995,9,22,/6yoghtyTpznpBik8EngEmJskVUO.jpg,Crime,Mystery,Thriller,,,,
38,Fargo,275,3/8/1996,1996,3,8,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,Crime,Drama,Thriller,,,,
39,E.T. the Extra-Terrestrial,601,6/11/1982,1982,6,11,/trEGc4UQWj8eLS5MyeGRxeTwlqY.jpg,Science Fiction,Adventure,Family,Fantasy,,,
40,Blade Runner,78,6/25/1982,1982,6,25,/vfzE3pjE5G7G7kcZWrA3fnbZo7V.jpg,Science Fiction,Drama,Thriller,,,,
41,The Empire Strikes Back,1891,5/20/1980,1980,5,20,/7BuH8itoSrLExs2YZSsM01Qk2no.jpg,Adventure,Action,Science Fiction,,,,
42,Drive,64690,6/17/2011,2011,6,17,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,Drama,Thriller,Crime,,,,
43,Airplane!,813,7/2/1980,1980,7,2,/hiURvJjCgk0s10urHVCg80TFF11.jpg,Comedy,,,,,,
44,The Revenant,281957,12/25/2015,2015,12,25,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,Western,Drama,Adventure,,,,
45,Back to the Future,105,7/3/1985,1985,7,3,/xlBivetfrtF84Yx0zISShnNtHYe.jpg,Adventure,Comedy,Science Fiction,Family,,,
46,Ratatouille,2062,6/22/2007,2007,6,22,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,Animation,Comedy,Family,Fantasy,,,
47,The Big Lebowski,115,3/6/1998,1998,3,6,/d4J7GotCjvDJBAYayZBTc5nLbbP.jpg,Comedy,Crime,,,,,
48,Spider-Man 2,558,6/25/2004,2004,6,25,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,Action,Adventure,Fantasy,,,,
49,Kung Fu Panda,9502,6/4/2008,2008,6,4,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,Action,Adventure,Animation,Family,Comedy,,
50,Catch Me If You Can,640,12/25/2002,2002,12,25,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,Drama,Crime,,,,,
51,The Departed,1422,10/5/2006,2006,10,5,/kWWAt2FMRbqLFFy8o5R4Zr8cMAb.jpg,Drama,Thriller,Crime,,,,
52,The Green Mile,497,12/10/1999,1999,12,10,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,Fantasy,Drama,Crime,,,,
53,Toy Story 3,10193,6/16/2010,2010,6,16,/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,Animation,Family,Comedy,,,,
54,The Lord of the Rings: The Fellowship of the Ring,120,12/18/2001,2001,12,18,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,Adventure,Fantasy,Action,,,,
55,A Beautiful Mind,453,12/11/2001,2001,12,11,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,Drama,Romance,,,,,
56,The Godfather: Part II,240,12/20/1974,1974,12,20,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,Drama,Crime,,,,,
57,Rocky,1366,11/21/1976,1976,11,21,/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg,Drama,Action,,,,,
58,American Beauty,14,9/15/1999,1999,9,15,/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama,,,,,,
59,The Town,23168,9/15/2010,2010,9,15,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,Crime,Drama,Thriller,,,,
60,The Incredibles,9806,11/5/2004,2004,11,5,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,Action,Adventure,Animation,Family,,,
61,Alien,348,5/25/1979,1979,5,25,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,Horror,Science Fiction,,,,,
62,Eternal Sunshine of the Spotless Mind,38,3/19/2004,2004,3,19,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,Science Fiction,Drama,Romance,,,,
63,Harry Potter and the Prisoner of Azkaban,673,5/31/2004,2004,5,31,/v0wMKEEGaNc9evdqGYfIvoWXh24.jpg,Adventure,Fantasy,,,,,
64,Terminator 2: Judgment Day,280,7/3/1991,1991,7,3,/weVXMD5QBGeQil4HEATZqAkXeEc.jpg,Action,Thriller,Science Fiction,,,,
65,Ferris Bueller's Day Off,9377,6/11/1986,1986,6,11,/kKhvDqvxaXSJXWjVKjCTeHvNKd3.jpg,Comedy,,,,,,
66,12 Angry Men,389,4/10/1957,1957,4,10,/wh0f80G6GZvYBNiYmvqFngt3IYq.jpg,Drama,,,,,,
67,The Grand Budapest Hotel,120467,2/26/2014,2014,2,26,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,Comedy,Drama,,,,,
68,Argo,68734,10/11/2012,2012,10,11,/2HVkfkgY1nvWTCRj3H1zTmlghUG.jpg,Drama,Thriller,,,,,
69,Captain America: Civil War,271110,4/27/2016,2016,4,27,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,Adventure,Action,Science Fiction,,,,
70,Everybody Wants Some!!,295699,3/30/2016,2016,3,30,/vAIFZ8bw0spSvcIYgfuX99B3H2w.jpg,Comedy,,,,,,
71,Night of the Living Dead,10331,10/4/1968,1968,10,4,/rSBkU4g4uvZQIMOSpvrmvR4VwhA.jpg,Horror,Thriller,,,,,
72,Little Caesar,27899,1/25/1931,1931,1,25,/9TSzQm3aE7FdnutXIGmHc3G4llE.jpg,Drama,Action,Crime,Romance,,,
73,Gilda,3767,4/25/1946,1946,4,25,/hz2gG5D3GHaaPZUSnRNjMC3Wl1r.jpg,Drama,Romance,Thriller,,,,
74,Scarlet Street,17058,12/25/1945,1945,12,25,/pioF72zZq3Qu3p5DkkAq59ZEb6B.jpg,Drama,Thriller,,,,,
75,Cat People,25508,12/5/1942,1942,12,5,/xbe5w7MXOdqsu0ZZRiHHAh6oQlc.jpg,Horror,Drama,,,,,
76,Star Wars: The Force Awakens,140607,12/15/2015,2015,12,15,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Action,Adventure,Science Fiction,Fantasy,,,
77,Interstellar,157336,11/5/2014,2014,11,5,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Adventure,Drama,Science Fiction,,,,
78,Django Unchained,68718,12/25/2012,2012,12,25,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,Drama,Western,,,,,
79,Guardians of the Galaxy,118340,7/30/2014,2014,7,30,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,Action,Science Fiction,Adventure,,,,
80,Birdman or (The Unexpected Virtue of Ignorance),194662,8/27/2014,2014,8,27,/lvWL5ZRlYFh7M7fOvYswcRqyprI.jpg,Drama,Comedy,,,,,
81,The Wolf of Wall Street,106646,12/25/2013,2013,12,25,/sOxr33wnRuKazR9ClHek73T8qnK.jpg,Crime,Drama,Comedy,,,,
82,Inside Out,150540,6/9/2015,2015,6,9,/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg,Animation,Family,Adventure,Drama,Comedy,,
83,Inception,27205,7/15/2010,2010,7,15,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,Action,Science Fiction,Adventure,,,,
84,The Martian,286217,9/30/2015,2015,9,30,/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,Drama,Adventure,Science Fiction,,,,
85,Gravity,49047,10/3/2013,2013,10,3,/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg,Science Fiction,Thriller,Drama,,,,
86,Deadpool,293660,2/9/2016,2016,2,9,/yGSxMiF0cYuAiyuve5DA6bnWEOI.jpg,Action,Adventure,Comedy,,,,
87,The Avengers,24428,4/25/2012,2012,4,25,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Science Fiction,Action,Adventure,,,,
88,Nightcrawler,242582,10/23/2014,2014,10,23,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,Crime,Drama,Thriller,,,,
89,Inglourious Basterds,16869,8/18/2009,2009,8,18,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,Drama,Action,Thriller,War,,,
90,Star Wars,11,5/25/1977,1977,5,25,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Adventure,Action,Science Fiction,,,,
91,The Dark Knight Rises,49026,7/16/2012,2012,7,16,/vzvKcPQ4o7TjWeGIn0aGC9FeVNu.jpg,Action,Crime,Drama,Thriller,,,
92,Avengers: Age of Ultron,99861,4/22/2015,2015,4,22,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Action,Adventure,Science Fiction,,,,
93,The Shining,694,5/23/1980,1980,5,23,/vJq1poTiRDFdLCSTCNrzQuPtnVz.jpg,Horror,Thriller,,,,,
94,The Godfather,238,3/14/1972,1972,3,14,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,Drama,Crime,,,,,
95,Jurassic World,135397,6/6/2015,2015,6,6,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Action,Adventure,Science Fiction,Thriller,,,
96,Kingsman: The Secret Service,207703,12/13/2014,2014,12,13,/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,Crime,Comedy,Action,Adventure,,,
97,Skyfall,37724,10/25/2012,2012,10,25,/izrHg2UzxG3YXTBcKFaUbYp9LWA.jpg,Action,Adventure,Thriller,,,,
98,Silver Linings Playbook,82693,9/8/2012,2012,9,8,/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,Drama,Comedy,Romance,,,,
99,Edge of Tomorrow,137113,5/27/2014,2014,5,27,/uUHvlkLavotfGsNtosDy8ShsIYF.jpg,Action,Science Fiction,,,,,
100,Jurassic Park,329,6/11/1993,1993,6,11,/9i3plLl89DHMz7mahksDaAo7HIS.jpg,Adventure,Science Fiction,,,,,
101,Kill Bill: Vol. 1,24,10/10/2003,2003,10,10,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,Action,Crime,,,,,
102,Ant-Man,102899,7/14/2015,2015,7,14,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,Science Fiction,Action,Adventure,,,,
103,Reservoir Dogs,500,9/2/1992,1992,9,2,/AjTtJNumZyUDz33VtMlF1K8JPsE.jpg,Crime,Thriller,,,,,
104,The Matrix,603,3/30/1999,1999,3,30,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,Action,Science Fiction,,,,,
105,American Hustle,168672,12/12/2013,2013,12,12,/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,Drama,Crime,,,,,
106,There Will Be Blood,7345,12/28/2007,2007,12,28,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,Drama,,,,,,
107,The Silence of the Lambs,274,2/1/1991,1991,2,1,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,Crime,Drama,Thriller,Horror,,,
108,Batman v Superman: Dawn of Justice,209112,3/23/2016,2016,3,23,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,Action,Adventure,Fantasy,,,,
109,Return of the Jedi,1892,5/25/1983,1983,5,25,/mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,Adventure,Action,Science Fiction,,,,
110,Pacific Rim,68726,7/11/2013,2013,7,11,/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg,Action,Science Fiction,Adventure,,,,
111,WALL·E,10681,6/22/2008,2008,6,22,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,Animation,Family,Science Fiction,,,,
112,Man of Steel,49521,6/12/2013,2013,6,12,/7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg,Action,Adventure,Fantasy,Science Fiction,,,
113,Memento,77,10/11/2000,2000,10,11,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,Mystery,Thriller,,,,,
114,The Big Short,318846,12/11/2015,2015,12,11,/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,Comedy,Drama,,,,,
115,The Hobbit: An Unexpected Journey,49051,11/26/2012,2012,11,26,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,Adventure,Fantasy,Action,,,,
116,Psycho,539,6/22/1960,1960,6,22,/nR4LD4ZJg2n6LZQpcOrLFdMq0cD.jpg,Horror,Drama,Thriller,,,,
117,The Lord of the Rings: The Two Towers,121,12/18/2002,2002,12,18,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,Adventure,Fantasy,Action,,,,
118,The Hunger Games: Catching Fire,101299,11/15/2013,2013,11,15,/7c1JtraYsjMMnk8Md0IMoyRzqZJ.jpg,Adventure,Action,Science Fiction,,,,
119,Iron Man,1726,4/30/2008,2008,4,30,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,Action,Science Fiction,Adventure,,,,
120,The Hunger Games,70160,3/12/2012,2012,3,12,/iQK0pkTQC60XR3Zlu2pp8kujoqW.jpg,Science Fiction,Adventure,Fantasy,,,,
121,Toy Story,862,10/30/1995,1995,10,30,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Animation,Adventure,Family,Comedy,,,
122,Apocalypse Now,28,8/15/1979,1979,8,15,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,Drama,War,,,,,
123,Spectre,206647,10/26/2015,2015,10,26,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,Action,Adventure,Thriller,,,,
124,Prisoners,146233,9/18/2013,2013,9,18,/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg,Drama,Thriller,Crime,,,,
125,Donnie Darko,141,10/26/2001,2001,10,26,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,Fantasy,Drama,Mystery,,,,
126,The Prestige,1124,10/19/2006,2006,10,19,/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,Drama,Mystery,Thriller,,,,
127,Prometheus,70981,5/30/2012,2012,5,30,/omy5CiDMQnGqQUEJ9gNLOGPZQFW.jpg,Science Fiction,Adventure,Mystery,,,,
128,The Hobbit: The Desolation of Smaug,57158,12/11/2013,2013,12,11,/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,Fantasy,Adventure,Action,,,,
129,Die Hard,562,7/15/1988,1988,7,15,/1fq1IpnuVqkD5BMuaXAUW0eVB21.jpg,Action,Thriller,,,,,
130,Dawn of the Planet of the Apes,119450,6/26/2014,2014,6,26,/ie14Sm0hRI5f7Te2KIfU64NyCPr.jpg,Science Fiction,Action,Drama,Thriller,,,
131,This Is the End,109414,6/12/2013,2013,6,12,/7Wdc3etyBJA4432TYtz6n9GQd1c.jpg,Action,Comedy,,,,,
132,Captain America: The First Avenger,1771,7/22/2011,2011,7,22,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,Action,Adventure,Science Fiction,,,,
133,Life of Pi,87827,11/20/2012,2012,11,20,/leKQao68zra3SY2cPHZLzEbdLKT.jpg,Adventure,Drama,Action,,,,
134,Kill Bill: Vol. 2,393,4/16/2004,2004,4,16,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,Action,Crime,Thriller,,,,
135,Wreck-It Ralph,82690,11/1/2012,2012,11,1,/nsUAgWCxqbTD9wkKrv3nBGH2DVk.jpg,Family,Animation,Comedy,Adventure,,,
136,Thor: The Dark World,76338,10/29/2013,2013,10,29,/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,Action,Adventure,Fantasy,,,,
137,Creed,312221,11/25/2015,2015,11,25,/iBq4od6j1ZAvDVO7hwmHT2Xf2Bt.jpg,Drama,,,,,,
138,Ghostbusters,620,6/8/1984,1984,6,8,/h5Qz8J4T8YQnbZzHXM73WVYYVPK.jpg,Comedy,Fantasy,,,,,
139,Avatar,19995,12/10/2009,2009,12,10,/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,Action,Adventure,Fantasy,Science Fiction,,,
140,The Lion King,8587,6/23/1994,1994,6,23,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,Family,Animation,Drama,,,,
141,21 Jump Street,64688,3/14/2012,2012,3,14,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,Action,Comedy,Crime,,,,
142,Hot Fuzz,4638,2/14/2007,2007,2,14,/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,Crime,Action,Comedy,,,,
143,The Great Gatsby,64682,5/10/2013,2013,5,10,/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,Drama,Romance,,,,,
144,"Monsters, Inc.",585,11/1/2001,2001,11,1,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg,Animation,Comedy,Family,,,,
145,Full Metal Jacket,600,6/26/1987,1987,6,26,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,Drama,War,,,,,
146,Bridge of Spies,296098,10/15/2015,2015,10,15,/1pNAmSWKLosPyuVqh0zx43Pzqh5.jpg,Thriller,Drama,,,,,
147,The Amazing Spider-Man,1930,6/23/2012,2012,6,23,/dQ8TOCYgP9pzQvSb1cmaalYqdb5.jpg,Action,Adventure,Fantasy,,,,
148,22 Jump Street,187017,6/5/2014,2014,6,5,/ajB6cGvoy04438RzvfO6Sz28yMK.jpg,Crime,Comedy,Action,,,,
149,Captain Phillips,109424,10/10/2013,2013,10,10,/2x8ida0rHokUv80Ah4eBNb2eXas.jpg,Action,Drama,Thriller,,,,
150,World War Z,72190,6/20/2013,2013,6,20,/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,Action,Drama,Horror,Science Fiction,Thriller,,
151,American Sniper,190859,12/11/2014,2014,12,11,/i1U46OwMc6vlm7OoSUKfqUH615e.jpg,War,Action,,,,,
152,The Breakfast Club,2108,2/15/1985,1985,2,15,/c0bdxKVRevkw50LOnk6B8d3e4s.jpg,Comedy,Drama,,,,,
153,Léon: The Professional,101,9/14/1994,1994,9,14,/jtNOfwZu3zea5grnqpq4nyqXoID.jpg,Crime,Drama,Action,,,,
154,Star Wars: Episode I - The Phantom Menace,1893,5/19/1999,1999,5,19,/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,Adventure,Action,Science Fiction,,,,
155,Casino Royale,36557,11/14/2006,2006,11,14,/wmRTS3WrXRi8GJdpDae1NifYNwx.jpg,Adventure,Action,Thriller,,,,
156,Trainspotting,627,2/23/1996,1996,2,23,/6UTzw3kipgTYAJCX8GExoXzcVOx.jpg,Drama,Crime,,,,,
157,District 9,17654,8/5/2009,2009,8,5,/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,Science Fiction,,,,,,
158,Harry Potter and the Deathly Hallows: Part 2,12445,7/7/2011,2011,7,7,/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg,Fantasy,Adventure,,,,,
159,Iron Man 2,10138,4/28/2010,2010,4,28,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,Adventure,Action,Science Fiction,,,,
160,Star Trek,13475,5/6/2009,2009,5,6,/lV5OpzAss1z06YNagOVap1I35mH.jpg,Science Fiction,Action,Adventure,,,,
161,Star Wars: Episode III - Revenge of the Sith,1895,5/17/2005,2005,5,17,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,Science Fiction,Adventure,Action,,,,
162,Watchmen,13183,3/5/2009,2009,3,5,/aZvOkdo203bm1kpcY0A0Tn074ER.jpg,Action,Mystery,Science Fiction,,,,
163,The Amazing Spider-Man 2,102382,4/16/2014,2014,4,16,/c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg,Action,Adventure,Fantasy,,,,
164,(500) Days of Summer,19913,7/17/2009,2009,7,17,/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg,Comedy,Drama,Romance,,,,
165,Toy Story 2,863,10/30/1999,1999,10,30,/eVGu0zsezaSCuN67zgNhzjeNI9Z.jpg,Animation,Comedy,Family,,,,
166,Zombieland,19908,10/7/2009,2009,10,7,/dUkAmAyPVqubSBNRjRqCgHggZcK.jpg,Comedy,Horror,,,,,
167,Harry Potter and the Philosopher's Stone,671,11/16/2001,2001,11,16,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,Adventure,Fantasy,,,,,
168,Star Wars: Episode II - Attack of the Clones,1894,5/15/2002,2002,5,15,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,Adventure,Action,Science Fiction,,,,
169,Monsters University,62211,6/19/2013,2013,6,19,/odW4WVN5hALNDQlL7A97nU6fiAv.jpg,Animation,Family,,,,,
170,The Usual Suspects,629,7/19/1995,1995,7,19,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,Drama,Crime,Thriller,,,,
171,Sin City,187,4/1/2005,2005,4,1,/8qGW691AOyqbKsEhpe7nHwMEbRe.jpg,Thriller,Action,Crime,,,,
172,Hugo,44826,11/22/2011,2011,11,22,/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg,Adventure,Drama,Family,,,,
173,Jackie Brown,184,4/10/1997,1997,4,10,/ewbLUXvm4riZL0aepy90o0vMesn.jpg,Crime,Thriller,Drama,,,,
174,Back to the Future Part II,165,11/22/1989,1989,11,22,/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,Adventure,Comedy,Family,Science Fiction,,,
175,The King's Speech,45269,9/6/2010,2010,9,6,/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg,Drama,History,,,,,
176,Pirates of the Caribbean: The Curse of the Black Pearl,22,7/9/2003,2003,7,9,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,Adventure,Fantasy,Action,,,,
177,Juno,7326,12/5/2007,2007,12,5,/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,Comedy,Drama,Romance,,,,
178,X-Men: Apocalypse,246655,5/18/2016,2016,5,18,/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg,Action,Adventure,Science Fiction,Fantasy,,,
179,Me and Earl and the Dying Girl,308369,6/12/2015,2015,6,12,/p0cMBeUZVkkDEMkXfpbCMz9hE0v.jpg,Comedy,Drama,,,,,
180,Straight Outta Compton,277216,8/13/2015,2015,8,13,/9B63hMwU6iICtNDTISCaZQ5US7R.jpg,Music,Drama,,,,,
181,Fury,228150,10/15/2014,2014,10,15,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,War,Drama,Action,,,,
182,Spider-Man,557,5/1/2002,2002,5,1,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,Fantasy,Action,,,,,
